Category,Relation,Dataset,models,f1_score,Precision,Recall,Execution_Time
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,bert-base-uncased,0.5,0.3571428571428571,0.8333333333333334,47.38976693153381
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,distilbert-base-uncased,0.5,0.3571428571428571,0.8333333333333334,30.821912050247192
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,sentence-transformers/all-MiniLM-L6-v2,0.4,0.2857142857142857,0.6666666666666666,24.91222763061523
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,albert-base-v2,0.4,0.2857142857142857,0.6666666666666666,41.79659008979797
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,facebook/bart-base,0.5,0.3571428571428571,0.8333333333333334,122.17026591300964
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,gpt,0.5,0.3571428571428571,0.8333333333333334,42.089200258255005
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,roberta-base,0.4,0.2857142857142857,0.6666666666666666,52.10035467147827
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,bert-base-uncased,0.5,0.4117647058823529,0.6363636363636364,72.02347612380981
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,distilbert-base-uncased,0.3571428571428571,0.2941176470588235,0.4545454545454545,56.020100116729736
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,sentence-transformers/all-MiniLM-L6-v2,0.5714285714285714,0.4705882352941176,0.7272727272727273,39.873769998550415
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,albert-base-v2,0.5,0.4117647058823529,0.6363636363636364,76.89358329772949
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,facebook/bart-base,0.3571428571428571,0.2941176470588235,0.4545454545454545,219.67716240882876
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,gpt,0.5,0.4117647058823529,0.6363636363636364,74.86959266662598
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,roberta-base,0.4285714285714285,0.3529411764705882,0.5454545454545454,91.26148009300232
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,bert-base-uncased,0.0,0.0,0.0,26.16866898536682
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,distilbert-base-uncased,0.0,0.0,0.0,18.08207893371582
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,0.0,13.933524131774902
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,albert-base-v2,0.0,0.0,0.0,26.856940746307373
