Category,Relation,Dataset,models,f1_score,Precision,Recall,Execution_Time
Magellan,Unionable,amazon_google_exp,bert-base-uncased,1.0,1.0,1.0,14.233076095581056
Magellan,Unionable,amazon_google_exp,distilbert-base-uncased,1.0,1.0,1.0,10.029829025268556
Magellan,Unionable,amazon_google_exp,sentence-transformers/all-MiniLM-L6-v2,1.0,1.0,1.0,7.16907000541687
Magellan,Unionable,amazon_google_exp,albert-base-v2,1.0,1.0,1.0,13.137505054473875
Magellan,Unionable,amazon_google_exp,facebook/bart-base,1.0,1.0,1.0,36.47697114944458
Magellan,Unionable,amazon_google_exp,gpt,1.0,1.0,1.0,13.255035161972046
Magellan,Unionable,amazon_google_exp,roberta-base,1.0,1.0,1.0,16.52015209197998
Magellan,Unionable,dblp_acm,bert-base-uncased,1.0,1.0,1.0,28.673866033554077
Magellan,Unionable,dblp_acm,distilbert-base-uncased,1.0,1.0,1.0,23.214081048965454
Magellan,Unionable,dblp_acm,sentence-transformers/all-MiniLM-L6-v2,0.6,0.6,0.6,16.615818977355957
Magellan,Unionable,dblp_acm,albert-base-v2,1.0,1.0,1.0,29.413434982299805
Magellan,Unionable,dblp_acm,facebook/bart-base,1.0,1.0,1.0,80.39221930503845
Magellan,Unionable,dblp_acm,gpt,1.0,1.0,1.0,25.953536987304688
Magellan,Unionable,dblp_acm,roberta-base,1.0,1.0,1.0,31.356472730636597
Magellan,Unionable,walmart_amazon,bert-base-uncased,0.3333333333333333,0.3333333333333333,0.3333333333333333,50.221702098846436
Magellan,Unionable,walmart_amazon,distilbert-base-uncased,0.3333333333333333,0.3333333333333333,0.3333333333333333,38.315701961517334
Magellan,Unionable,walmart_amazon,sentence-transformers/all-MiniLM-L6-v2,0.6666666666666666,0.6666666666666666,0.6666666666666666,30.71758794784546
Magellan,Unionable,walmart_amazon,albert-base-v2,0.6666666666666666,0.6666666666666666,0.6666666666666666,52.27297925949097
Magellan,Unionable,walmart_amazon,facebook/bart-base,0.6666666666666666,0.6666666666666666,0.6666666666666666,118.76333284378052
Magellan,Unionable,walmart_amazon,gpt,0.6666666666666666,0.6666666666666666,0.6666666666666666,41.60111904144287
Magellan,Unionable,walmart_amazon,roberta-base,0.3333333333333333,0.3333333333333333,0.3333333333333333,52.93350672721863
Magellan,Unionable,dblp_scholar,bert-base-uncased,1.0,1.0,1.0,52.09046006202698
Magellan,Unionable,dblp_scholar,distilbert-base-uncased,1.0,1.0,1.0,54.905739068984985
Magellan,Unionable,dblp_scholar,sentence-transformers/all-MiniLM-L6-v2,1.0,1.0,1.0,44.68742823600769
Magellan,Unionable,dblp_scholar,albert-base-v2,1.0,1.0,1.0,67.21160387992859
Magellan,Unionable,dblp_scholar,facebook/bart-base,0.6,0.6,0.6,103.9498839378357
Magellan,Unionable,dblp_scholar,gpt,1.0,1.0,1.0,37.53766417503357
Magellan,Unionable,dblp_scholar,roberta-base,1.0,1.0,1.0,62.92788100242615
Magellan,Unionable,beeradvo_ratebeer,bert-base-uncased,1.0,1.0,1.0,24.533568143844604
Magellan,Unionable,beeradvo_ratebeer,distilbert-base-uncased,1.0,1.0,1.0,18.89695382118225
Magellan,Unionable,beeradvo_ratebeer,sentence-transformers/all-MiniLM-L6-v2,1.0,1.0,1.0,14.634181022644043
Magellan,Unionable,beeradvo_ratebeer,albert-base-v2,1.0,1.0,1.0,25.9585599899292
Magellan,Unionable,beeradvo_ratebeer,facebook/bart-base,1.0,1.0,1.0,69.24720191955566
Magellan,Unionable,beeradvo_ratebeer,gpt,1.0,1.0,1.0,21.076996088027954
Magellan,Unionable,beeradvo_ratebeer,roberta-base,1.0,1.0,1.0,28.084004163742065
Magellan,Unionable,itunes_amazon,bert-base-uncased,1.0,1.0,1.0,184.50115084648132
Magellan,Unionable,itunes_amazon,distilbert-base-uncased,1.0,1.0,1.0,149.53413081169128
Magellan,Unionable,itunes_amazon,sentence-transformers/all-MiniLM-L6-v2,1.0,1.0,1.0,143.76426100730896
Magellan,Unionable,itunes_amazon,albert-base-v2,1.0,1.0,1.0,207.85631203651428
Magellan,Unionable,itunes_amazon,facebook/bart-base,1.0,1.0,1.0,401.5042052268982
Magellan,Unionable,itunes_amazon,gpt,1.0,1.0,1.0,149.95133590698242
Magellan,Unionable,itunes_amazon,roberta-base,1.0,1.0,1.0,2576.8377888202667
Magellan,Unionable,fodors_zagats,bert-base-uncased,0.7142857142857143,0.7142857142857143,0.7142857142857143,48.1299090385437
Magellan,Unionable,fodors_zagats,distilbert-base-uncased,0.7142857142857143,0.7142857142857143,0.7142857142857143,33.57240295410156
Magellan,Unionable,fodors_zagats,sentence-transformers/all-MiniLM-L6-v2,0.7142857142857143,0.7142857142857143,0.7142857142857143,160.52393794059753
Magellan,Unionable,fodors_zagats,albert-base-v2,0.7142857142857143,0.7142857142857143,0.7142857142857143,47.78322720527649
Magellan,Unionable,fodors_zagats,facebook/bart-base,0.7142857142857143,0.7142857142857143,0.7142857142857143,141.82192611694336
Magellan,Unionable,fodors_zagats,gpt,0.7142857142857143,0.7142857142857143,0.7142857142857143,56.49754595756531
Magellan,Unionable,fodors_zagats,roberta-base,0.7142857142857143,0.7142857142857143,0.7142857142857143,53.90221691131592
