Category,Relation,Dataset,models,f1_score,Precision,Recall,Execution_Time,Model,Dataset Name,noise,models_y,Relation Type,Relation_binaire,Source 1 Attribute Count,Source 2 Attribute Count,Common Attribute Count,pourcentage_commun,Precision Median,Recall Median,F1 Score Median,ngcd_at_median,Precision (Top n%),Recall (Top n%),F1 Score (Top n%),ngcd_at_n,Precision (Top 2n%),Recall (Top 2n%),F1 Score (Top 2n%),ngcd_at_2n,F1 Score (Top 25),ngcd_at_25,F1 Score (Top 20),ngcd_at_20,F1 Score (Top 15),ngcd_at_15,F1 Score (Top 10),ngcd_at_10,F1 Score (Top 7),ngcd_at_7,F1 Score (Top 5),ngcd_at_5,Execution_Time_y
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,bert-base-uncased,0.5,0.3571428571428571,0.8333333333333334,47.38976693153381,bert-base-uncased,assays_both_0_30_ec_ev,1,bert-base-uncased,View-Unionable,No Semantically,14,15,6,41,0.29,0.67,0.4,0.61,0.17,0.17,0.17,0.3,0.25,0.17,0.2,0.49,0.2,0.71,0.21,0.71,0.22,0.64,0.18,0.4,0.21,0.4,,,47.38976693153381
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,distilbert-base-uncased,0.5,0.3571428571428571,0.8333333333333334,30.821912050247192,distilbert-base-uncased,assays_both_0_30_ec_ev,1,distilbert-base-uncased,View-Unionable,No Semantically,14,15,6,41,0.36,0.83,0.5,0.88,0.67,0.67,0.67,0.78,0.42,0.67,0.51,0.87,0.35,0.94,0.41,0.94,0.44,0.87,0.57,0.87,0.62,0.78,,,30.821912050247192
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,sentence-transformers/all-MiniLM-L6-v2,0.4,0.2857142857142857,0.6666666666666666,24.91222763061523,sentence-transformers/all-MiniLM-L6-v2,assays_both_0_30_ec_ev,1,sentence-transformers/all-MiniLM-L6-v2,View-Unionable,No Semantically,14,15,6,41,0.29,0.67,0.4,0.63,0.33,0.33,0.33,0.42,0.33,0.33,0.33,0.6,0.28,0.75,0.32,0.75,0.33,0.68,0.36,0.6,0.31,0.42,,,24.91222763061523
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,albert-base-v2,0.4,0.2857142857142857,0.6666666666666666,41.79659008979797,albert-base-v2,assays_both_0_30_ec_ev,1,albert-base-v2,View-Unionable,No Semantically,14,15,6,41,0.36,0.83,0.5,0.84,0.5,0.5,0.5,0.64,0.33,0.5,0.4,0.75,0.32,0.89,0.37,0.89,0.35,0.75,0.44,0.75,0.53,0.75,,,41.79659008979797
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,facebook/bart-base,0.5,0.3571428571428571,0.8333333333333334,122.17026591300964,facebook/bart-base,assays_both_0_30_ec_ev,1,facebook/bart-base,View-Unionable,No Semantically,14,15,6,41,0.36,0.83,0.5,0.85,0.5,0.5,0.5,0.64,0.42,0.5,0.45,0.84,0.32,0.92,0.37,0.92,0.4,0.84,0.5,0.84,0.53,0.75,,,122.17026591300964
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,gpt,0.5,0.3571428571428571,0.8333333333333334,42.089200258255005,gpt,assays_both_0_30_ec_ev,1,gpt,View-Unionable,No Semantically,14,15,6,41,0.36,0.83,0.5,0.89,0.83,0.83,0.83,0.89,0.42,0.83,0.56,0.89,0.37,0.96,0.44,0.96,0.48,0.89,0.62,0.89,0.77,0.89,,,42.089200258255005
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,roberta-base,0.4,0.2857142857142857,0.6666666666666666,52.10035467147827,roberta-base,assays_both_0_30_ec_ev,1,roberta-base,View-Unionable,No Semantically,14,15,6,41,0.36,0.83,0.5,0.81,0.5,0.5,0.5,0.6,0.33,0.5,0.4,0.7,0.32,0.85,0.37,0.85,0.4,0.78,0.44,0.7,0.53,0.7,,,52.10035467147827
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,bert-base-uncased,0.5,0.4117647058823529,0.6363636363636364,72.02347612380981,bert-base-uncased,assays_both_0_50_ac2_av,3,bert-base-uncased,View-Unionable,No Semantically,17,17,11,64,0.29,0.45,0.36,0.55,0.55,0.55,0.55,0.61,0.41,0.55,0.47,0.76,0.43,0.76,0.46,0.71,0.5,0.66,,,,,,,72.02347612380981
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,distilbert-base-uncased,0.3571428571428571,0.2941176470588235,0.4545454545454545,56.020100116729736,distilbert-base-uncased,assays_both_0_50_ac2_av,3,distilbert-base-uncased,View-Unionable,No Semantically,17,17,11,64,0.29,0.45,0.36,0.57,0.36,0.36,0.36,0.5,0.32,0.36,0.34,0.65,0.32,0.65,0.36,0.65,0.35,0.55,,,,,,,56.020100116729736
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,sentence-transformers/all-MiniLM-L6-v2,0.5714285714285714,0.4705882352941176,0.7272727272727273,39.873769998550415,sentence-transformers/all-MiniLM-L6-v2,assays_both_0_50_ac2_av,3,sentence-transformers/all-MiniLM-L6-v2,View-Unionable,No Semantically,17,17,11,64,0.53,0.82,0.64,0.87,0.55,0.55,0.55,0.69,0.32,0.55,0.4,0.73,0.4,0.78,0.43,0.73,0.46,0.69,,,,,,,39.873769998550415
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,albert-base-v2,0.5,0.4117647058823529,0.6363636363636364,76.89358329772949,albert-base-v2,assays_both_0_50_ac2_av,3,albert-base-v2,View-Unionable,No Semantically,17,17,11,64,0.53,0.82,0.64,0.85,0.55,0.55,0.55,0.66,0.32,0.55,0.4,0.71,0.37,0.71,0.43,0.71,0.46,0.66,,,,,,,76.89358329772949
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,facebook/bart-base,0.3571428571428571,0.2941176470588235,0.4545454545454545,219.6771624088288,facebook/bart-base,assays_both_0_50_ac2_av,3,facebook/bart-base,View-Unionable,No Semantically,17,17,11,64,0.41,0.64,0.5,0.64,0.45,0.45,0.45,0.53,0.36,0.45,0.4,0.68,0.4,0.73,0.43,0.68,0.46,0.63,,,,,,,219.6771624088288
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,gpt,0.5,0.4117647058823529,0.6363636363636364,74.86959266662598,gpt,assays_both_0_50_ac2_av,3,gpt,View-Unionable,No Semantically,17,17,11,64,0.41,0.64,0.5,0.71,0.45,0.45,0.45,0.6,0.32,0.45,0.37,0.7,0.35,0.7,0.4,0.7,0.43,0.65,,,,,,,74.86959266662598
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,roberta-base,0.4285714285714285,0.3529411764705882,0.5454545454545454,91.26148009300232,roberta-base,assays_both_0_50_ac2_av,3,roberta-base,View-Unionable,No Semantically,17,17,11,64,0.29,0.45,0.36,0.51,0.45,0.45,0.45,0.52,0.36,0.45,0.4,0.68,0.4,0.72,0.43,0.68,0.46,0.63,,,,,,,91.26148009300232
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,bert-base-uncased,0.0,0.0,0.0,26.16866898536682,bert-base-uncased,assays_both_0_1_ec_ev,1,bert-base-uncased,View-Unionable,No Semantically,12,12,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.0,0.43,0.0,0.43,0.0,0.43,0.0,0.43,26.16866898536682
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,distilbert-base-uncased,0.0,0.0,0.0,18.08207893371582,distilbert-base-uncased,assays_both_0_1_ec_ev,1,distilbert-base-uncased,View-Unionable,No Semantically,12,12,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.0,0.43,0.0,0.43,0.0,0.43,0.0,0.43,18.08207893371582
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,0.0,13.933524131774902,sentence-transformers/all-MiniLM-L6-v2,assays_both_0_1_ec_ev,1,sentence-transformers/all-MiniLM-L6-v2,View-Unionable,No Semantically,12,12,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.63,0.0,0.63,0.0,0.63,0.0,0.63,0.0,0.63,0.0,0.63,0.0,0.63,13.933524131774902
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,albert-base-v2,0.0,0.0,0.0,26.856940746307373,albert-base-v2,assays_both_0_1_ec_ev,1,albert-base-v2,View-Unionable,No Semantically,12,12,1,8,0.08,1.0,0.15,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.67,1.0,0.08,1.0,0.1,1.0,0.12,1.0,0.18,1.0,0.25,1.0,0.33,1.0,26.856940746307373
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,facebook/bart-base,0.0,0.0,0.0,71.22878217697144,facebook/bart-base,assays_both_0_1_ec_ev,1,facebook/bart-base,View-Unionable,No Semantically,12,12,1,8,0.08,1.0,0.15,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.67,1.0,0.08,1.0,0.1,1.0,0.12,1.0,0.18,1.0,0.25,1.0,0.33,1.0,71.22878217697144
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,gpt,0.1538461538461538,0.0833333333333333,1.0,24.135998249053955,gpt,assays_both_0_1_ec_ev,1,gpt,View-Unionable,No Semantically,12,12,1,8,0.08,1.0,0.15,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.67,1.0,0.08,1.0,0.1,1.0,0.12,1.0,0.18,1.0,0.25,1.0,0.33,1.0,24.135998249053955
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,roberta-base,0.1538461538461538,0.0833333333333333,1.0,30.267591953277588,roberta-base,assays_both_0_1_ec_ev,1,roberta-base,View-Unionable,No Semantically,12,12,1,8,0.08,1.0,0.15,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.39,0.0,0.39,0.0,0.39,0.0,0.39,0.0,0.39,30.267591953277588
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,bert-base-uncased,0.6285714285714286,0.5789473684210527,0.6875,103.08928394317628,bert-base-uncased,assays_both_0_70_ac2_ev,3,bert-base-uncased,View-Unionable,No Semantically,19,20,16,82,0.47,0.56,0.51,0.65,0.38,0.38,0.38,0.52,0.31,0.38,0.34,0.66,0.37,0.63,0.39,0.6,,,,,,,,,103.08928394317628
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,distilbert-base-uncased,0.5142857142857142,0.4736842105263157,0.5625,76.21987104415894,distilbert-base-uncased,assays_both_0_70_ac2_ev,3,distilbert-base-uncased,View-Unionable,No Semantically,19,20,16,82,0.53,0.62,0.57,0.56,0.31,0.31,0.31,0.34,0.31,0.31,0.31,0.52,0.33,0.49,0.33,0.41,,,,,,,,,76.21987104415894
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,sentence-transformers/all-MiniLM-L6-v2,0.5142857142857142,0.4736842105263157,0.5625,57.12850785255432,sentence-transformers/all-MiniLM-L6-v2,assays_both_0_70_ac2_ev,3,sentence-transformers/all-MiniLM-L6-v2,View-Unionable,No Semantically,19,20,16,82,0.58,0.69,0.63,0.75,0.44,0.44,0.44,0.58,0.31,0.44,0.36,0.68,0.34,0.58,0.39,0.58,,,,,,,,,57.12850785255432
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,albert-base-v2,0.5142857142857142,0.4736842105263157,0.5625,102.17630004882812,albert-base-v2,assays_both_0_70_ac2_ev,3,albert-base-v2,View-Unionable,No Semantically,19,20,16,82,0.58,0.69,0.63,0.76,0.44,0.44,0.44,0.59,0.34,0.44,0.38,0.72,0.37,0.62,0.39,0.59,,,,,,,,,102.17630004882812
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,facebook/bart-base,0.5142857142857142,0.4736842105263157,0.5625,276.78010296821594,facebook/bart-base,assays_both_0_70_ac2_ev,3,facebook/bart-base,View-Unionable,No Semantically,19,20,16,82,0.53,0.62,0.57,0.64,0.5,0.5,0.5,0.53,0.41,0.5,0.45,0.71,0.47,0.64,0.47,0.57,,,,,,,,,276.78010296821594
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,gpt,0.742857142857143,0.6842105263157895,0.8125,3190.0693130493164,gpt,assays_both_0_70_ac2_ev,3,gpt,View-Unionable,No Semantically,19,20,16,82,0.63,0.75,0.69,0.81,0.56,0.56,0.56,0.69,0.34,0.56,0.43,0.76,0.47,0.73,0.5,0.69,,,,,,,,,3190.0693130493164
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,roberta-base,0.5714285714285714,0.5263157894736842,0.625,109.11492013931274,roberta-base,assays_both_0_70_ac2_ev,3,roberta-base,View-Unionable,No Semantically,19,20,16,82,0.58,0.69,0.63,0.78,0.69,0.69,0.69,0.76,0.41,0.69,0.51,0.83,0.57,0.8,0.61,0.76,,,,,,,,,109.11492013931274
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,bert-base-uncased,0.0,0.0,0.0,23.99283623695373,bert-base-uncased,assays_both_0_1_ac4_ev,5,bert-base-uncased,View-Unionable,No Semantically,12,12,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,23.99283623695373
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,distilbert-base-uncased,0.0,0.0,0.0,16.97064781188965,distilbert-base-uncased,assays_both_0_1_ac4_ev,5,distilbert-base-uncased,View-Unionable,No Semantically,12,12,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.0,0.43,0.0,0.43,0.0,0.43,0.0,0.43,16.97064781188965
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,sentence-transformers/all-MiniLM-L6-v2,0.0,0.0,0.0,14.722782850265505,sentence-transformers/all-MiniLM-L6-v2,assays_both_0_1_ac4_ev,5,sentence-transformers/all-MiniLM-L6-v2,View-Unionable,No Semantically,12,12,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.0,0.43,0.0,0.43,0.0,0.43,0.0,0.43,14.722782850265505
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,albert-base-v2,0.0,0.0,0.0,21.999746084213257,albert-base-v2,assays_both_0_1_ac4_ev,5,albert-base-v2,View-Unionable,No Semantically,12,12,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.0,0.43,0.0,0.43,0.0,0.43,0.0,0.43,21.999746084213257
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,facebook/bart-base,0.0,0.0,0.0,67.81697797775269,facebook/bart-base,assays_both_0_1_ac4_ev,5,facebook/bart-base,View-Unionable,No Semantically,12,12,1,8,0.08,1.0,0.15,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.67,1.0,0.08,1.0,0.1,1.0,0.12,1.0,0.18,1.0,0.25,1.0,0.33,1.0,67.81697797775269
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,gpt,0.1538461538461538,0.0833333333333333,1.0,21.18015623092652,gpt,assays_both_0_1_ac4_ev,5,gpt,View-Unionable,No Semantically,12,12,1,8,0.08,1.0,0.15,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.67,1.0,0.08,1.0,0.1,1.0,0.12,1.0,0.18,1.0,0.25,1.0,0.33,1.0,21.18015623092652
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,roberta-base,0.1538461538461538,0.0833333333333333,1.0,27.48669719696045,roberta-base,assays_both_0_1_ac4_ev,5,roberta-base,View-Unionable,No Semantically,12,12,1,8,0.08,1.0,0.15,0.63,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.63,0.0,0.63,0.0,0.63,0.0,0.63,0.0,0.63,0.0,0.63,0.0,0.63,27.48669719696045
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,bert-base-uncased,0.6,0.4285714285714285,1.0,42.93148398399353,bert-base-uncased,assays_both_0_30_ac4_ev,5,bert-base-uncased,View-Unionable,No Semantically,14,15,6,41,0.36,0.83,0.5,0.84,0.5,0.5,0.5,0.6,0.33,0.5,0.4,0.7,0.32,0.86,0.37,0.86,0.44,0.86,0.44,0.7,0.53,0.7,,,42.93148398399353
