Category,Relation,Dataset,models,f1_score,Precision,Recall,Execution_Time
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,bert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,93.3664209842682
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,distilbert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,59.29183006286621
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,sentence-transformers/all-MiniLM-L6-v2,0.5,0.3571428571428571,0.8333333333333334,35.804569244384766
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,albert-base-v2,0.4,0.2857142857142857,0.6666666666666666,52.090209007263184
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,facebook/bart-base,0.3,0.2142857142857142,0.5,177.41945600509644
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,gpt,0.5,0.3571428571428571,0.8333333333333334,44.92945098876953
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,roberta-base,0.4,0.2857142857142857,0.6666666666666666,92.94303512573242
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,bert-base-uncased,0.5,0.4117647058823529,0.6363636363636364,162.07030200958252
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,distilbert-base-uncased,0.4285714285714285,0.3529411764705882,0.5454545454545454,99.28961205482484
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,sentence-transformers/all-MiniLM-L6-v2,0.5714285714285714,0.4705882352941176,0.7272727272727273,59.85638594627381
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,albert-base-v2,0.5714285714285714,0.4705882352941176,0.7272727272727273,84.22118186950684
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,facebook/bart-base,0.4285714285714285,0.3529411764705882,0.5454545454545454,298.0215280056
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,gpt,0.5714285714285714,0.4705882352941176,0.7272727272727273,68.63241505622864
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,roberta-base,0.4285714285714285,0.3529411764705882,0.5454545454545454,163.0912888050079
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,albert-base-v2,0.1538461538461538,0.0833333333333333,1.0,34.25932192802429
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,facebook/bart-base,0.0,0.0,0.0,96.80634498596191
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,gpt,0.1538461538461538,0.0833333333333333,1.0,28.53166604042053
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,roberta-base,0.0,0.0,0.0,49.76844215393066
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,sentence-transformers/all-MiniLM-L6-v2,0.6285714285714286,0.5789473684210527,0.6875,90.11757898330688
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,albert-base-v2,0.6857142857142857,0.631578947368421,0.75,102.55669021606444
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,facebook/bart-base,0.5142857142857142,0.4736842105263157,0.5625,383.8067688941956
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,gpt,0.6285714285714286,0.5789473684210527,0.6875,97.38571500778198
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,roberta-base,0.5714285714285714,0.5263157894736842,0.625,198.0165889263153
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,bert-base-uncased,0.0,0.0,0.0,62.09771370887756
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,distilbert-base-uncased,0.0,0.0,0.0,32.20285105705261
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,sentence-transformers/all-MiniLM-L6-v2,0.1538461538461538,0.0833333333333333,1.0,19.916910886764526
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,albert-base-v2,0.1538461538461538,0.0833333333333333,1.0,25.19553589820861
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,facebook/bart-base,0.0,0.0,0.0,93.74512696266174
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,gpt,0.1538461538461538,0.0833333333333333,1.0,28.939629077911377
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,roberta-base,0.0,0.0,0.0,47.32769203186035
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,bert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,101.69595408439636
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,distilbert-base-uncased,0.3,0.2142857142857142,0.5,52.9998140335083
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,sentence-transformers/all-MiniLM-L6-v2,0.5,0.3571428571428571,0.8333333333333334,35.8253870010376
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,albert-base-v2,0.4,0.2857142857142857,0.6666666666666666,44.153404712677
