Category,Relation,Dataset,models,f1_score,Precision,Recall,Execution_Time
Magellan,Unionable,amazon_google_exp,bert-base-uncased,1.0,1.0,1.0,30.84508800506592
Magellan,Unionable,amazon_google_exp,distilbert-base-uncased,1.0,1.0,1.0,20.498435974121094
Magellan,Unionable,amazon_google_exp,sentence-transformers/all-MiniLM-L6-v2,1.0,1.0,1.0,13.763731002807615
Magellan,Unionable,amazon_google_exp,albert-base-v2,0.5,0.5,0.5,18.334108352661133
Magellan,Unionable,amazon_google_exp,facebook/bart-base,0.5,0.5,0.5,67.91425371170044
Magellan,Unionable,amazon_google_exp,gpt,1.0,1.0,1.0,15.940704107284546
Magellan,Unionable,amazon_google_exp,roberta-base,0.5,0.5,0.5,47.33015513420105
Magellan,Unionable,dblp_acm,bert-base-uncased,0.6,0.6,0.6,62.80229187011719
Magellan,Unionable,dblp_acm,distilbert-base-uncased,0.6,0.6,0.6,35.94714093208313
Magellan,Unionable,dblp_acm,sentence-transformers/all-MiniLM-L6-v2,1.0,1.0,1.0,21.719286918640137
Magellan,Unionable,dblp_acm,albert-base-v2,0.6,0.6,0.6,34.07935810089111
Magellan,Unionable,dblp_acm,facebook/bart-base,0.6,0.6,0.6,122.47404098510742
Magellan,Unionable,dblp_acm,gpt,1.0,1.0,1.0,29.28175187110901
Magellan,Unionable,dblp_acm,roberta-base,1.0,1.0,1.0,66.66757702827454
Magellan,Unionable,walmart_amazon,bert-base-uncased,1.0,1.0,1.0,78.17184829711914
Magellan,Unionable,walmart_amazon,distilbert-base-uncased,1.0,1.0,1.0,50.63972997665405
Magellan,Unionable,walmart_amazon,sentence-transformers/all-MiniLM-L6-v2,1.0,1.0,1.0,33.362075328826904
Magellan,Unionable,walmart_amazon,albert-base-v2,0.6666666666666666,0.6666666666666666,0.6666666666666666,43.37571883201599
Magellan,Unionable,walmart_amazon,facebook/bart-base,0.5,0.5,0.5,160.4109468460083
Magellan,Unionable,walmart_amazon,gpt,1.0,1.0,1.0,35.86941385269165
Magellan,Unionable,walmart_amazon,roberta-base,1.0,1.0,1.0,78.75815391540527
Magellan,Unionable,dblp_scholar,bert-base-uncased,1.0,1.0,1.0,59.410300731658936
Magellan,Unionable,dblp_scholar,distilbert-base-uncased,1.0,1.0,1.0,35.809069871902466
Magellan,Unionable,dblp_scholar,sentence-transformers/all-MiniLM-L6-v2,1.0,1.0,1.0,22.78827977180481
Magellan,Unionable,dblp_scholar,albert-base-v2,1.0,1.0,1.0,29.72112917900085
Magellan,Unionable,dblp_scholar,facebook/bart-base,1.0,1.0,1.0,111.38034176826476
Magellan,Unionable,dblp_scholar,gpt,1.0,1.0,1.0,29.729362964630127
Magellan,Unionable,dblp_scholar,roberta-base,1.0,1.0,1.0,56.790165185928345
Magellan,Unionable,fodors_zagats,bert-base-uncased,0.4285714285714285,0.4285714285714285,0.4285714285714285,106.21091794967651
Magellan,Unionable,fodors_zagats,distilbert-base-uncased,0.4285714285714285,0.4285714285714285,0.4285714285714285,68.09526014328003
Magellan,Unionable,fodors_zagats,sentence-transformers/all-MiniLM-L6-v2,0.4285714285714285,0.4285714285714285,0.4285714285714285,44.956642150878906
Magellan,Unionable,fodors_zagats,albert-base-v2,0.2857142857142857,0.2857142857142857,0.2857142857142857,59.837087869644165
Magellan,Unionable,fodors_zagats,facebook/bart-base,0.5714285714285714,0.5714285714285714,0.5714285714285714,207.88003993034363
Magellan,Unionable,fodors_zagats,gpt,0.4285714285714285,0.4285714285714285,0.4285714285714285,52.3700590133667
Magellan,Unionable,fodors_zagats,roberta-base,0.4285714285714285,0.4285714285714285,0.4285714285714285,105.38672471046448
Magellan,Unionable,beeradvo_ratebeer,bert-base-uncased,0.6,0.6,0.6,47.61772584915161
Magellan,Unionable,beeradvo_ratebeer,distilbert-base-uncased,0.6,0.6,0.6,31.91052007675171
Magellan,Unionable,beeradvo_ratebeer,sentence-transformers/all-MiniLM-L6-v2,0.6,0.6,0.6,20.93759274482727
Magellan,Unionable,beeradvo_ratebeer,albert-base-v2,0.6,0.6,0.6,23.224579095840454
Magellan,Unionable,beeradvo_ratebeer,facebook/bart-base,0.6,0.6,0.6,94.04513692855835
Magellan,Unionable,beeradvo_ratebeer,gpt,0.6,0.6,0.6,23.604528188705444
Magellan,Unionable,beeradvo_ratebeer,roberta-base,1.0,1.0,1.0,51.05759596824646
Magellan,Unionable,itunes_amazon,bert-base-uncased,0.823529411764706,0.875,0.7777777777777778,224.84973096847534
Magellan,Unionable,itunes_amazon,distilbert-base-uncased,0.9411764705882353,1.0,0.8888888888888888,146.22750806808472
Magellan,Unionable,itunes_amazon,sentence-transformers/all-MiniLM-L6-v2,0.5882352941176471,0.625,0.5555555555555556,92.24716019630432
Magellan,Unionable,itunes_amazon,albert-base-v2,0.9411764705882353,1.0,0.8888888888888888,128.93824934959412
Magellan,Unionable,itunes_amazon,facebook/bart-base,0.5,0.5714285714285714,0.4444444444444444,454.0119848251343
Magellan,Unionable,itunes_amazon,gpt,0.375,0.42857142857142855,0.3333333333333333,124.15019679069519
Magellan,Unionable,itunes_amazon,roberta-base,0.47058823529411764,0.5,0.4444444444444444,239.55709791183472
