Category,Relation,Dataset,models,f1_score,Precision,Recall,Execution_Time,Model,models_y,f1_score_y,Precision_y,Recall_y,Noise_Level,Attributes_Source1,Attributes_Source2,Common_Attributes,pourcentage_commun,Relation_binaire,F1 Score Median,NDCG at Median,Dataset.1,Model.1,Category.1,Relation.1,models.1,f1_score.1,Precision.1,Recall.1,Execution_Time_y,Noise_Level.1,Attributes_Source1.1,Attributes_Source2.1,Common_Attributes.1,pourcentage_commun.1,Relation_binaire.1,F1 Score Median.1,NDCG at Median.1
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,bert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,93.3664209842682,bert-base-uncased,bert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,1,14.0,15.0,6.0,41.0,No Semantically,0.5,0.6023254501543346,assays_both_0_30_ec_ev,bert-base-uncased,ChEMBL,View-Unionable,bert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,47.38976693153381,1.0,14.0,15.0,6.0,41.0,No Semantically,0.4,0.6854831540674773
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,distilbert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,59.29183006286621,distilbert-base-uncased,bert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,1,14.0,15.0,6.0,41.0,No Semantically,0.5,0.7194140355510171,prospect_both_50_1_ac5_av,distilbert-base-uncased,TPC-DI,Semantically-Joinable,facebook/bart-base,0.0,0.0,0.0,30.821912050247192,6.0,11.0,12.0,1.0,8.0,Semantically,0.0,0.0
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,sentence-transformers/all-MiniLM-L6-v2,0.5,0.3571428571428571,0.8333333333333334,35.804569244384766,sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,1,14.0,15.0,6.0,41.0,No Semantically,0.4,0.6854831540674773,assays_horizontal_50_ec_ev,sentence-transformers/all-MiniLM-L6-v2,ChEMBL,Unionable,sentence-transformers/all-MiniLM-L6-v2,0.782608695652174,0.782608695652174,0.782608695652174,24.91222763061523,1.0,23.0,23.0,23.0,100.0,No Semantically,0.782608695652174,0.8149424358693454
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,albert-base-v2,0.4,0.2857142857142857,0.6666666666666666,52.090209007263184,albert-base-v2,bert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,1,14.0,15.0,6.0,41.0,No Semantically,0.5,0.6077324882311382,assays_vertical_30_ac2_ev,albert-base-v2,ChEMBL,Joinable,distilbert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,41.79659008979797,3.0,14.0,15.0,6.0,41.0,No Semantically,0.4,0.4510502356636468
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,facebook/bart-base,0.3,0.2142857142857142,0.5,177.41945600509644,facebook/bart-base,bert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,1,14.0,15.0,6.0,41.0,No Semantically,0.5,0.7194140355510171,prospect_both_0_70_ac5_ev,facebook/bart-base,TPC-DI,View-Unionable,albert-base-v2,0.4242424242424242,0.3888888888888889,0.4666666666666667,122.17026591300964,6.0,18.0,19.0,15.0,81.0,No Semantically,0.5454545454545454,0.5958577009261102
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,gpt,0.5,0.3571428571428571,0.8333333333333334,44.92945098876953,gpt,bert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,1,14.0,15.0,6.0,41.0,No Semantically,0.4,0.7751482523375255,assays_both_0_70_ac3_av,gpt,ChEMBL,View-Unionable,distilbert-base-uncased,0.5142857142857142,0.4736842105263157,0.5625,42.089200258255005,4.0,19.0,20.0,16.0,82.0,No Semantically,0.5142857142857142,0.6767121742328177
ChEMBL,View-Unionable,assays_both_0_30_ec_ev,roberta-base,0.4,0.2857142857142857,0.6666666666666666,92.94303512573242,roberta-base,bert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,1,14.0,15.0,6.0,41.0,No Semantically,0.2,0.4539036202482202,prospect_both_50_70_ac4_ev,roberta-base,TPC-DI,Joinable,distilbert-base-uncased,0.606060606060606,0.5555555555555556,0.6666666666666666,52.10035467147827,5.0,18.0,19.0,15.0,81.0,No Semantically,0.5454545454545454,0.5862736029019368
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,bert-base-uncased,0.5,0.4117647058823529,0.6363636363636364,162.07030200958252,bert-base-uncased,bert-base-uncased,0.3571428571428571,0.2941176470588235,0.4545454545454545,3,17.0,17.0,11.0,64.0,No Semantically,0.4285714285714285,0.6312565239179803,assays_horizontal_50_ac2_ev,bert-base-uncased,ChEMBL,Unionable,bert-base-uncased,0.782608695652174,0.782608695652174,0.782608695652174,72.02347612380981,3.0,23.0,23.0,23.0,100.0,No Semantically,0.7391304347826085,0.7927135738281689
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,distilbert-base-uncased,0.4285714285714285,0.3529411764705882,0.5454545454545454,99.28961205482484,distilbert-base-uncased,bert-base-uncased,0.3571428571428571,0.2941176470588235,0.4545454545454545,3,17.0,17.0,11.0,64.0,No Semantically,0.4285714285714285,0.6275512988094606,assays_horizontal_100_ac4_ev,distilbert-base-uncased,ChEMBL,Unionable,bert-base-uncased,0.782608695652174,0.782608695652174,0.782608695652174,56.020100116729736,5.0,23.0,23.0,23.0,100.0,No Semantically,0.6086956521739131,0.6951489990513241
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,sentence-transformers/all-MiniLM-L6-v2,0.5714285714285714,0.4705882352941176,0.7272727272727273,59.85638594627381,sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,0.3571428571428571,0.2941176470588235,0.4545454545454545,3,17.0,17.0,11.0,64.0,No Semantically,0.6428571428571428,0.8304761061359199,assays_vertical_70_ac3_av,sentence-transformers/all-MiniLM-L6-v2,ChEMBL,Semantically-Joinable,bert-base-uncased,0.5714285714285714,0.5263157894736842,0.625,39.873769998550415,4.0,19.0,20.0,16.0,82.0,Semantically,0.5714285714285714,0.6261352728046468
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,albert-base-v2,0.5714285714285714,0.4705882352941176,0.7272727272727273,84.22118186950684,albert-base-v2,bert-base-uncased,0.3571428571428571,0.2941176470588235,0.4545454545454545,3,17.0,17.0,11.0,64.0,No Semantically,0.4285714285714285,0.607701957790544,assays_both_50_70_ec_ev,albert-base-v2,ChEMBL,Joinable,distilbert-base-uncased,0.6285714285714286,0.5789473684210527,0.6875,76.89358329772949,1.0,19.0,20.0,16.0,82.0,No Semantically,0.6857142857142857,0.7761692118981687
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,facebook/bart-base,0.4285714285714285,0.3529411764705882,0.5454545454545454,298.0215280056,facebook/bart-base,bert-base-uncased,0.3571428571428571,0.2941176470588235,0.4545454545454545,3,17.0,17.0,11.0,64.0,No Semantically,0.4285714285714285,0.6189804154214711,prospect_both_0_1_ac2_av,facebook/bart-base,TPC-DI,View-Unionable,albert-base-v2,0.0,0.0,0.0,219.6771624088288,3.0,11.0,12.0,1.0,8.0,No Semantically,0.0,0.0
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,gpt,0.5714285714285714,0.4705882352941176,0.7272727272727273,68.63241505622864,gpt,bert-base-uncased,0.3571428571428571,0.2941176470588235,0.4545454545454545,3,17.0,17.0,11.0,64.0,No Semantically,0.7142857142857143,0.9345848154702976,prospect_both_0_70_ac1_ev,gpt,TPC-DI,View-Unionable,facebook/bart-base,0.5454545454545454,0.5,0.6,74.86959266662598,2.0,18.0,19.0,15.0,81.0,No Semantically,0.7272727272727272,0.8378163163376395
ChEMBL,View-Unionable,assays_both_0_50_ac2_av,roberta-base,0.4285714285714285,0.3529411764705882,0.5454545454545454,163.0912888050079,roberta-base,bert-base-uncased,0.3571428571428571,0.2941176470588235,0.4545454545454545,3,17.0,17.0,11.0,64.0,No Semantically,0.3571428571428571,0.5407726589536547,assays_vertical_1_ac4_av,roberta-base,ChEMBL,Semantically-Joinable,bert-base-uncased,0.0,0.0,0.0,91.26148009300232,5.0,12.0,12.0,1.0,8.0,Semantically,0.0,0.0
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,albert-base-v2,0.1538461538461538,0.0833333333333333,1.0,34.25932192802429,albert-base-v2,bert-base-uncased,0.0,0.0,0.0,1,12.0,12.0,1.0,8.0,No Semantically,0.0,0.0,prospect_horizontal_0_ac1_ev,albert-base-v2,TPC-DI,Unionable,gpt,0.9090909090909092,0.9090909090909092,0.9090909090909092,26.856940746307373,2.0,22.0,22.0,22.0,100.0,No Semantically,0.5454545454545454,0.6224042963577578
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,facebook/bart-base,0.0,0.0,0.0,96.80634498596191,facebook/bart-base,bert-base-uncased,0.0,0.0,0.0,1,12.0,12.0,1.0,8.0,No Semantically,0.0,0.0,prospect_horizontal_100_ac4_ev,facebook/bart-base,TPC-DI,Unionable,gpt,0.6818181818181818,0.6818181818181818,0.6818181818181818,71.22878217697144,5.0,22.0,22.0,22.0,100.0,No Semantically,0.6363636363636364,0.6351446664462852
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,gpt,0.1538461538461538,0.0833333333333333,1.0,28.53166604042053,gpt,bert-base-uncased,0.0,0.0,0.0,1,12.0,12.0,1.0,8.0,No Semantically,0.1538461538461538,1.0,assays_vertical_50_ac2_ev,gpt,ChEMBL,Joinable,distilbert-base-uncased,0.3571428571428571,0.2941176470588235,0.4545454545454545,24.135998249053955,3.0,17.0,17.0,11.0,64.0,No Semantically,0.4285714285714285,0.6333554095319668
ChEMBL,View-Unionable,assays_both_0_1_ec_ev,roberta-base,0.0,0.0,0.0,49.76844215393066,roberta-base,bert-base-uncased,0.0,0.0,0.0,1,12.0,12.0,1.0,8.0,No Semantically,0.0,0.0,assays_vertical_30_ec_ev,roberta-base,ChEMBL,Joinable,bert-base-uncased,0.2,0.1428571428571428,0.3333333333333333,30.267591953277588,1.0,14.0,15.0,6.0,41.0,No Semantically,0.2,0.2590903612739176
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,sentence-transformers/all-MiniLM-L6-v2,0.6285714285714286,0.5789473684210527,0.6875,90.11757898330688,sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,0.5142857142857142,0.4736842105263157,0.5625,3,19.0,20.0,16.0,82.0,No Semantically,0.6857142857142857,0.7483920065390797,assays_horizontal_100_ac1_av,sentence-transformers/all-MiniLM-L6-v2,ChEMBL,Unionable,facebook/bart-base,0.6086956521739131,0.6086956521739131,0.6086956521739131,57.12850785255432,2.0,23.0,23.0,23.0,100.0,No Semantically,0.5333333333333332,0.594774611147309
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,albert-base-v2,0.6857142857142857,0.631578947368421,0.75,102.55669021606444,albert-base-v2,bert-base-uncased,0.5142857142857142,0.4736842105263157,0.5625,3,19.0,20.0,16.0,82.0,No Semantically,0.5142857142857142,0.6037669903306457,assays_both_50_50_ec_ev,albert-base-v2,ChEMBL,Joinable,sentence-transformers/all-MiniLM-L6-v2,0.5714285714285714,0.4705882352941176,0.7272727272727273,102.17630004882812,1.0,17.0,17.0,11.0,64.0,No Semantically,0.5,0.6241402933989137
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,facebook/bart-base,0.5142857142857142,0.4736842105263157,0.5625,383.8067688941956,facebook/bart-base,bert-base-uncased,0.5142857142857142,0.4736842105263157,0.5625,3,19.0,20.0,16.0,82.0,No Semantically,0.5142857142857142,0.5726426071545639,assays_both_50_1_ac3_ev,facebook/bart-base,ChEMBL,Joinable,distilbert-base-uncased,0.1538461538461538,0.0833333333333333,1.0,276.78010296821594,4.0,12.0,12.0,1.0,8.0,No Semantically,0.0,0.0
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,gpt,0.6285714285714286,0.5789473684210527,0.6875,97.38571500778198,gpt,bert-base-uncased,0.5142857142857142,0.4736842105263157,0.5625,3,19.0,20.0,16.0,82.0,No Semantically,0.7999999999999999,0.914798840679698,assays_both_0_30_ec_ev,gpt,ChEMBL,View-Unionable,bert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,3190.0693130493164,1.0,14.0,15.0,6.0,41.0,No Semantically,0.4,0.6062178429497024
ChEMBL,View-Unionable,assays_both_0_70_ac2_ev,roberta-base,0.5714285714285714,0.5263157894736842,0.625,198.0165889263153,roberta-base,bert-base-uncased,0.5142857142857142,0.4736842105263157,0.5625,3,19.0,20.0,16.0,82.0,No Semantically,0.4571428571428571,0.5476508770511086,prospect_horizontal_100_ec_av,roberta-base,TPC-DI,Unionable,bert-base-uncased,0.6818181818181818,0.6818181818181818,0.6818181818181818,109.11492013931274,1.0,22.0,22.0,22.0,100.0,No Semantically,0.5909090909090909,0.593409915243348
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,bert-base-uncased,0.0,0.0,0.0,62.09771370887756,bert-base-uncased,bert-base-uncased,0.0,0.0,0.0,5,12.0,12.0,1.0,8.0,No Semantically,0.0,0.0,prospect_horizontal_100_ac1_ev,bert-base-uncased,TPC-DI,Unionable,distilbert-base-uncased,0.7727272727272727,0.7727272727272727,0.7727272727272727,23.99283623695373,2.0,22.0,22.0,22.0,100.0,No Semantically,0.6818181818181818,0.7474809182197538
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,distilbert-base-uncased,0.0,0.0,0.0,32.20285105705261,distilbert-base-uncased,bert-base-uncased,0.0,0.0,0.0,5,12.0,12.0,1.0,8.0,No Semantically,0.0,0.0,prospect_both_0_50_ac5_av,distilbert-base-uncased,TPC-DI,View-Unionable,gpt,0.6666666666666666,0.5625,0.8181818181818182,16.97064781188965,6.0,16.0,17.0,11.0,66.0,No Semantically,0.3703703703703703,0.4341586606117222
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,sentence-transformers/all-MiniLM-L6-v2,0.1538461538461538,0.0833333333333333,1.0,19.916910886764526,sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,0.0,0.0,0.0,5,12.0,12.0,1.0,8.0,No Semantically,0.0,0.0,prospect_both_50_50_ac4_av,sentence-transformers/all-MiniLM-L6-v2,TPC-DI,Semantically-Joinable,sentence-transformers/all-MiniLM-L6-v2,0.5185185185185185,0.4375,0.6363636363636364,14.722782850265505,5.0,16.0,17.0,11.0,66.0,Semantically,0.5925925925925926,0.754953519571846
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,albert-base-v2,0.1538461538461538,0.0833333333333333,1.0,25.19553589820861,albert-base-v2,bert-base-uncased,0.0,0.0,0.0,5,12.0,12.0,1.0,8.0,No Semantically,0.0,0.0,assays_both_0_50_ac3_ev,albert-base-v2,ChEMBL,View-Unionable,distilbert-base-uncased,0.7142857142857143,0.5882352941176471,0.9090909090909092,21.999746084213257,4.0,17.0,17.0,11.0,64.0,No Semantically,0.7857142857142858,0.9523563013443472
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,facebook/bart-base,0.0,0.0,0.0,93.74512696266174,facebook/bart-base,bert-base-uncased,0.0,0.0,0.0,5,12.0,12.0,1.0,8.0,No Semantically,0.0,0.0,prospect_vertical_50_ec_ev,facebook/bart-base,TPC-DI,Joinable,albert-base-v2,0.2962962962962963,0.25,0.3636363636363636,67.81697797775269,1.0,16.0,17.0,11.0,66.0,No Semantically,0.5185185185185185,0.703513744490403
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,gpt,0.1538461538461538,0.0833333333333333,1.0,28.939629077911377,gpt,bert-base-uncased,0.0,0.0,0.0,5,12.0,12.0,1.0,8.0,No Semantically,0.1538461538461538,1.0,prospect_vertical_1_ac3_ev,gpt,TPC-DI,Joinable,albert-base-v2,0.0,0.0,0.0,21.18015623092652,4.0,11.0,12.0,1.0,8.0,No Semantically,0.0,0.0
ChEMBL,View-Unionable,assays_both_0_1_ac4_ev,roberta-base,0.0,0.0,0.0,47.32769203186035,roberta-base,bert-base-uncased,0.0,0.0,0.0,5,12.0,12.0,1.0,8.0,No Semantically,0.0,0.0,prospect_vertical_30_ac3_ev,roberta-base,TPC-DI,Joinable,sentence-transformers/all-MiniLM-L6-v2,0.3,0.2142857142857142,0.5,27.48669719696045,4.0,14.0,14.0,6.0,42.0,No Semantically,0.3,0.3257192188287456
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,bert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,101.69595408439636,bert-base-uncased,bert-base-uncased,0.5,0.3571428571428571,0.8333333333333334,5,14.0,15.0,6.0,41.0,No Semantically,0.4,0.4560429847391162,assays_both_0_30_ac4_ev,bert-base-uncased,ChEMBL,View-Unionable,bert-base-uncased,0.4,0.2857142857142857,0.6666666666666666,42.93148398399353,5.0,14.0,15.0,6.0,41.0,No Semantically,0.5,0.6253616908695547
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,distilbert-base-uncased,0.3,0.2142857142857142,0.5,52.9998140335083,distilbert-base-uncased,bert-base-uncased,0.5,0.3571428571428571,0.8333333333333334,5,14.0,15.0,6.0,41.0,No Semantically,0.3,0.3389803916011527,assays_both_50_1_ac1_ev,distilbert-base-uncased,ChEMBL,Joinable,bert-base-uncased,0.0,0.0,0.0,33.22366285324097,2.0,12.0,12.0,1.0,8.0,No Semantically,0.0,0.0
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,sentence-transformers/all-MiniLM-L6-v2,0.5,0.3571428571428571,0.8333333333333334,35.8253870010376,sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,0.5,0.3571428571428571,0.8333333333333334,5,14.0,15.0,6.0,41.0,No Semantically,0.3,0.5205324778030481,dblp_acm,sentence-transformers/all-MiniLM-L6-v2,Magellan,Unionable,bert-base-uncased,0.6,0.6,0.6,26.08840703964233,1.0,5.0,5.0,5.0,100.0,No Semantically,1.0,1.0
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,albert-base-v2,0.4,0.2857142857142857,0.6666666666666666,44.153404712677,albert-base-v2,bert-base-uncased,0.5,0.3571428571428571,0.8333333333333334,5,14.0,15.0,6.0,41.0,No Semantically,0.3,0.3133904973937019,assays_vertical_50_ec_ev,albert-base-v2,ChEMBL,Joinable,sentence-transformers/all-MiniLM-L6-v2,0.7142857142857143,0.5882352941176471,0.9090909090909092,39.5050699710846,1.0,17.0,17.0,11.0,64.0,No Semantically,0.5714285714285714,0.7374285747502319
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,facebook/bart-base,0.4,0.2857142857142857,0.6666666666666666,162.50575375556946,facebook/bart-base,bert-base-uncased,0.5,0.3571428571428571,0.8333333333333334,5,14.0,15.0,6.0,41.0,No Semantically,0.4,0.53917469639354,assays_vertical_1_ac3_ev,facebook/bart-base,ChEMBL,Joinable,distilbert-base-uncased,0.0,0.0,0.0,121.62558102607728,4.0,12.0,12.0,1.0,8.0,No Semantically,0.0,0.0
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,gpt,0.3,0.2142857142857142,0.5,44.957683086395264,gpt,bert-base-uncased,0.5,0.3571428571428571,0.8333333333333334,5,14.0,15.0,6.0,41.0,No Semantically,0.5,0.8201749498438573,assays_both_50_50_ac4_av,gpt,ChEMBL,Semantically-Joinable,sentence-transformers/all-MiniLM-L6-v2,0.7142857142857143,0.5882352941176471,0.9090909090909092,42.98508882522583,5.0,17.0,17.0,11.0,64.0,Semantically,0.6428571428571428,0.8822172103714233
ChEMBL,View-Unionable,assays_both_0_30_ac4_ev,roberta-base,0.3,0.2142857142857142,0.5,84.4326000213623,roberta-base,bert-base-uncased,0.5,0.3571428571428571,0.8333333333333334,5,14.0,15.0,6.0,41.0,No Semantically,0.3,0.3041170587802494,prospect_both_0_1_ac5_ev,roberta-base,TPC-DI,View-Unionable,albert-base-v2,0.1666666666666666,0.0909090909090909,1.0,44.234379053115845,6.0,11.0,12.0,1.0,8.0,No Semantically,0.0,0.0
ChEMBL,View-Unionable,assays_both_0_70_ec_av,distilbert-base-uncased,0.742857142857143,0.6842105263157895,0.8125,139.3336660861969,distilbert-base-uncased,bert-base-uncased,0.5714285714285714,0.5263157894736842,0.625,1,19.0,20.0,16.0,82.0,No Semantically,0.742857142857143,0.7651614103044283,prospect_horizontal_100_ac2_av,distilbert-base-uncased,TPC-DI,Unionable,sentence-transformers/all-MiniLM-L6-v2,0.6363636363636364,0.6363636363636364,0.6363636363636364,68.8754301071167,3.0,22.0,22.0,22.0,100.0,No Semantically,0.5909090909090909,0.6505455357881215
ChEMBL,View-Unionable,assays_both_0_70_ec_av,sentence-transformers/all-MiniLM-L6-v2,0.8571428571428572,0.7894736842105263,0.9375,72.14158606529236,sentence-transformers/all-MiniLM-L6-v2,bert-base-uncased,0.5714285714285714,0.5263157894736842,0.625,1,19.0,20.0,16.0,82.0,No Semantically,0.6285714285714286,0.6916223283727535,assays_both_50_70_ac4_ev,sentence-transformers/all-MiniLM-L6-v2,ChEMBL,Joinable,sentence-transformers/all-MiniLM-L6-v2,0.5714285714285714,0.5263157894736842,0.625,53.64998984336853,5.0,19.0,20.0,16.0,82.0,No Semantically,0.5714285714285714,0.598316693365086
ChEMBL,View-Unionable,assays_both_0_70_ec_av,albert-base-v2,0.742857142857143,0.6842105263157895,0.8125,89.65242910385132,albert-base-v2,bert-base-uncased,0.5714285714285714,0.5263157894736842,0.625,1,19.0,20.0,16.0,82.0,No Semantically,0.5714285714285714,0.6838281675137678,prospect_both_0_30_ec_av,albert-base-v2,TPC-DI,View-Unionable,bert-base-uncased,0.3,0.2142857142857142,0.5,84.40923190116882,1.0,14.0,14.0,6.0,42.0,No Semantically,0.6,0.7766628976189615
ChEMBL,View-Unionable,assays_both_0_70_ec_av,facebook/bart-base,0.5714285714285714,0.5263157894736842,0.625,335.95991706848145,facebook/bart-base,bert-base-uncased,0.5714285714285714,0.5263157894736842,0.625,1,19.0,20.0,16.0,82.0,No Semantically,0.5714285714285714,0.6479537946773462,assays_vertical_50_ac4_av,facebook/bart-base,ChEMBL,Semantically-Joinable,distilbert-base-uncased,0.6428571428571428,0.5294117647058824,0.8181818181818182,249.508052110672,5.0,17.0,17.0,11.0,64.0,Semantically,0.5714285714285714,0.6668973619748759
ChEMBL,View-Unionable,assays_both_0_70_ec_av,gpt,0.8571428571428572,0.7894736842105263,0.9375,94.05319499969482,gpt,bert-base-uncased,0.5714285714285714,0.5263157894736842,0.625,1,19.0,20.0,16.0,82.0,No Semantically,0.7999999999999999,0.8799961436178767,prospect_vertical_70_ac4_av,gpt,TPC-DI,Semantically-Joinable,gpt,0.606060606060606,0.5555555555555556,0.6666666666666666,83.4339919090271,5.0,18.0,19.0,15.0,81.0,Semantically,0.6666666666666666,0.8064796707988775
ChEMBL,View-Unionable,assays_both_0_70_ec_av,roberta-base,0.6857142857142857,0.631578947368421,0.75,172.9419059753418,roberta-base,bert-base-uncased,0.5714285714285714,0.5263157894736842,0.625,1,19.0,20.0,16.0,82.0,No Semantically,0.4571428571428571,0.5687664266622857,dblp_scholar,roberta-base,Magellan,Unionable,bert-base-uncased,1.0,1.0,1.0,93.23673605918884,1.0,5.0,5.0,5.0,100.0,No Semantically,0.2,0.3391602052736161
ChEMBL,View-Unionable,assays_both_0_70_ac3_ev,albert-base-v2,0.742857142857143,0.6842105263157895,0.8125,114.9129569530487,albert-base-v2,bert-base-uncased,0.6857142857142857,0.631578947368421,0.75,4,19.0,20.0,16.0,82.0,No Semantically,0.6857142857142857,0.7368826439989482,assays_both_50_1_ac2_ev,albert-base-v2,ChEMBL,Joinable,bert-base-uncased,0.0,0.0,0.0,86.86484098434448,3.0,12.0,12.0,1.0,8.0,No Semantically,0.0,0.0
